safety_score,,service_score,on_time_score,score,,name,country_code,country_name,region,year_founded,years_in_operation,alliance,fleet_size,monthly_flights,flights_delayed_percentage,average_delay_minutes,eu_banned,us_banned,banned,odds_fatal,years_until_fatal,,fatal_accidents,full_loss_equivalent,,last_fatal_accident,,,,,,,,url,,gdp_per_capita,,,,,,,,,,,,,,
⚠️           SAFETY SCORE       ,🍃           NEVER CRASHED,😊           SERVICE SCORE       ,⏰                      ON TIME SCORE,✈️           AIRLINE LIST SCORE       ,,Airline,,,,Founded,,Alliance,Fleet size,Flights/month (Oct 2018) ,% of flight delayed (Oct 2018),Average delay in minutes (Oct 2018),EU ban,FAA ban,,1 in...estimated odds of fatal accident per trip (*based on planes lost / fleet size * avg 6 trips per day * 30 years) ,Fatal accident if going non-stop for,,Fatal accidents (since 1970),"Fatal accidents in FLE (since 1970) * Full Loss Equivalent = The sum of the proportions of passengers killed for each fatal event. For example, 50 out of 100 passengers killed on a flight is an FLE of 0.50, 1 of 100 would be a FLE of 0.01. The fatal event rate for a set of fatal events is found by dividing the total FLE by the number of flights in millions.",FLE / year,Last fatal accident (after 1970),FLE / 1000x fleet size,Flight-report.com economy service ranking (out of 10),Airlineratings.com Safety (out of 7),Customer service rating (Skytrax normalized) (out of 5),Airhelp.com On-Time Performance (out of 10),Airhelp.com Quality of Service (out of 10),Airhelp.com Delay Claim Processing (out of 10),Website,Website rating,GDP per capita (nominal) in airline country,Sources,,,,,,,,,,,,,
5.00,Never,5.00,,5.00,,Hainan Airlines,🇨🇳,China,Asia,1989,29,,76,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,5.00,,,,hainanairlines.com,,"$8,126",Fleet size,https://www.hainanairlines.com/HUPortal/dyn/portal/DisplayPage?COUNTRY_SITE=INT&SITE=CBHZCBHZ&LANGUAGE=GB&PAGE=FLET,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,4.48,,4.74,,EVA Air,🇹🇼,Taiwan,Asia,1989,29,Star Alliance,75,,,,,,0 ,,,,0,0.00,0.00,,0.00,7.9,7,5.00,,,,www.evaair.com,,"$24,577",Fleet size,https://en.wikipedia.org/wiki/EVA_Air,Founded,https://en.wikipedia.org/wiki/EVA_Air,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,4.52,4.32,4.67,,Qatar Airways,🇶🇦,Qatar,Middle East,1993,25,OneWorld,220,"15,583",16.25%,39.2,,,0 ,,,,0,0.00,0.00,,0.00,7.9,7,5.00,8.9,9.5,8.9,qatarairways.com,,"$59,324",Fleet size,https://en.wikipedia.org/wiki/Qatar_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,4.22,4.50,4.59,,Aegean Airlines,🇬🇷,Greece,Europe,1987,31,Star Alliance,49,,,,,,0 ,,,,0,0.00,0.00,,0.00,7.5,7,5.00,9,8.3,7.4,aegeanair.com,,"$17,230",Fleet size,https://en.wikipedia.org/wiki/Aegean_Airlines,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.91,,4.36,4.20,4.55,,Singapore Airlines,🇸🇬,Singapore,Asia,1972,46,Star Alliance,116,"7,541",17.02%,35.9,,,0 ,"7,795,896 ","3,560",years,2,1.50,0.03,2000,12.93,8.5,7,5.00,8.5,9.8,6.8,singaporeair.com,,"$52,814",Fleet size,https://en.wikipedia.org/wiki/Singapore_Airlines_fleet,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,4.09,4.19,4.47,,Qantas,🇦🇺,Australia,Oceania,1920,48,OneWorld,127,"22,806",21.22%,43.1,,,0 ,,,,0,0.00,0.00,,0.00,7.7,7,4.38,8.9,8,7.5,qantas.com,,"$54,069",Fleet size,https://en.wikipedia.org/wiki/Qantas,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.96,4.30,4.44,,Etihad Airways,🇦🇪,United Arab Emirates,Middle East,2003,15,,111,,,,,,0 ,,,,0,0.00,0.00,,0.00,7.9,7,3.13,8.6,9.3,7.5,etihadairways.com,,"$37,622",Fleet size,https://en.wikipedia.org/wiki/Etihad_Airways,Founded,https://en.wikipedia.org/wiki/Etihad_Airways,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.84,,4.04,,4.44,,Air New Zealand,🇳🇿,New Zealand,Oceania,1965,48,Star Alliance,61,,,,,,0 ,"4,277,808 ","1,953",years,2,1.50,0.03,1979,24.59,7.4,7,4.38,,,,airnewzealand.com,,"$40,233",Flet,https://www.planespotters.net/airline/Air-New-Zealand,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.89,,4.01,4.33,4.42,,KLM,🇳🇱,Netherlands,Europe,1919,48,Sky Team,117,"22,923",11.66%,34.1,,,0 ,"6,344,054 ","2,897",years,3,1.94,0.04,1994,16.58,7.3,7,4.38,8.5,8,7.5,klm.com,,"$45,753",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.98,4.08,4.41,,Austrian Airlines,🇦🇹,Austria,Europe,1957,48,Star Alliance,85,"12,554",16.85%,33.4,,,0 ,,,,0,0.00,0.00,,0.00,7.4,7,3.75,8,8,8.9,austrianairlines.com,,"$44,857",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.96,4.07,4.40,,Emirates,🇦🇪,United Arab Emirates,Middle East,1985,33,,244,"16,504",15.17%,37.1,,,0 ,,,,0,0.00,0.00,,0.00,8.3,7,3.75,7.8,8.3,7.7,emirates.com,,"$37,622",Fleet size,https://www.emirates.com/media-centre/emirates-announces-ambitious-fleet-retirement-schedule-for-2016-to-be-distributed-in-30-minutes,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.90,,3.94,4.25,4.38,,South African Airways,🇿🇦,South Africa,Africa,1934,48,Star Alliance,64,,,,,,0 ,"6,732,288 ","3,074",years,1,1.00,0.02,1987,15.63,6.9,7,3.75,8.5,7.8,8.7,flysaa.com,,"$5,105",Fleet size,https://en.wikipedia.org/wiki/South_African_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,3.75,,4.38,,Shandong Airlines,🇨🇳,China,Asia,1994,24,,116,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,3.75,,,,sda.cn,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/Shandong_Airlines,Founded,https://en.wikipedia.org/wiki/Shandong_Airlines,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
